FID_;POINT_X;POINT_Y
;-43.650762999999998;-22.411100900000001
;-43.650762999999998;-22.416100900000000
;-43.650762999999998;-22.421100899999999
;-43.650762999999998;-22.426100900000002
;-43.700763000000002;-22.431100900000001
;-43.695762999999999;-22.431100900000001
;-43.650762999999998;-22.431100900000001
;-43.645763000000002;-22.431100900000001
;-43.710763000000000;-22.436100900000000
;-43.705762999999997;-22.436100900000000
;-43.700763000000002;-22.436100900000000
;-43.650762999999998;-22.436100900000000
;-43.645763000000002;-22.436100900000000
;-43.715763000000003;-22.441100899999999
;-43.710763000000000;-22.441100899999999
;-43.650762999999998;-22.441100899999999
;-43.720762999999998;-22.446100900000001
;-43.715763000000003;-22.446100900000001
;-43.650762999999998;-22.446100900000001
;-43.725763000000001;-22.451100900000000
;-43.720762999999998;-22.451100900000000
;-43.650762999999998;-22.451100900000000
;-43.730763000000003;-22.456100899999999
;-43.725763000000001;-22.456100899999999
;-43.650762999999998;-22.456100899999999
;-43.730763000000003;-22.461100900000002
;-43.650762999999998;-22.461100900000002
;-43.745762999999997;-22.466100900000001
;-43.740763000000001;-22.466100900000001
;-43.735762999999999;-22.466100900000001
;-43.730763000000003;-22.466100900000001
;-43.650762999999998;-22.466100900000001
;-43.645763000000002;-22.466100900000001
;-43.640763000000000;-22.466100900000001
;-43.745762999999997;-22.471100900000000
;-43.640763000000000;-22.471100900000000
;-43.635762999999997;-22.471100900000000
;-43.630763000000002;-22.471100900000000
;-43.750762999999999;-22.476100899999999
;-43.745762999999997;-22.476100899999999
;-43.650762999999998;-22.476100899999999
;-43.630763000000002;-22.476100899999999
;-43.750762999999999;-22.481100900000001
;-43.710763000000000;-22.481100900000001
;-43.705762999999997;-22.481100900000001
;-43.650762999999998;-22.481100900000001
;-43.630763000000002;-22.481100900000001
;-43.625762999999999;-22.481100900000001
;-43.620762999999997;-22.481100900000001
;-43.815762999999997;-22.486100900000000
;-43.750762999999999;-22.486100900000000
;-43.705762999999997;-22.486100900000000
;-43.650762999999998;-22.486100900000000
;-43.620762999999997;-22.486100900000000
;-43.615763000000001;-22.486100900000000
;-43.610762999999999;-22.486100900000000
;-43.445762999999999;-22.486100900000000
;-43.815762999999997;-22.491100899999999
;-43.750762999999999;-22.491100899999999
;-43.705762999999997;-22.491100899999999
;-43.700763000000002;-22.491100899999999
;-43.655763000000000;-22.491100899999999
;-43.650762999999998;-22.491100899999999
;-43.610762999999999;-22.491100899999999
;-43.605763000000003;-22.491100899999999
;-43.445762999999999;-22.491100899999999
;-43.440762999999997;-22.491100899999999
;-43.815762999999997;-22.496100899999998
;-43.810763000000001;-22.496100899999998
;-43.750762999999999;-22.496100899999998
;-43.700763000000002;-22.496100899999998
;-43.695762999999999;-22.496100899999998
;-43.690762999999997;-22.496100899999998
;-43.660763000000003;-22.496100899999998
;-43.655763000000000;-22.496100899999998
;-43.615763000000001;-22.496100899999998
;-43.610762999999999;-22.496100899999998
;-43.440762999999997;-22.496100899999998
;-43.435763000000001;-22.496100899999998
;-43.815762999999997;-22.501100900000001
;-43.810763000000001;-22.501100900000001
;-43.750762999999999;-22.501100900000001
;-43.700763000000002;-22.501100900000001
;-43.695762999999999;-22.501100900000001
;-43.690762999999997;-22.501100900000001
;-43.670763000000001;-22.501100900000001
;-43.665762999999998;-22.501100900000001
;-43.660763000000003;-22.501100900000001
;-43.655763000000000;-22.501100900000001
;-43.615763000000001;-22.501100900000001
;-43.610762999999999;-22.501100900000001
;-43.435763000000001;-22.501100900000001
;-43.820762999999999;-22.506100900000000
;-43.815762999999997;-22.506100900000000
;-43.810763000000001;-22.506100900000000
;-43.750762999999999;-22.506100900000000
;-43.705762999999997;-22.506100900000000
;-43.700763000000002;-22.506100900000000
;-43.690762999999997;-22.506100900000000
;-43.685763000000001;-22.506100900000000
;-43.675763000000003;-22.506100900000000
;-43.670763000000001;-22.506100900000000
;-43.660763000000003;-22.506100900000000
;-43.625762999999999;-22.506100900000000
;-43.620762999999997;-22.506100900000000
;-43.615763000000001;-22.506100900000000
;-43.435763000000001;-22.506100900000000
;-43.235762999999999;-22.506100900000000
;-43.230763000000003;-22.506100900000000
;-43.835763000000000;-22.511100899999999
;-43.810763000000001;-22.511100899999999
;-43.805762999999999;-22.511100899999999
;-43.800763000000003;-22.511100899999999
;-43.750762999999999;-22.511100899999999
;-43.745762999999997;-22.511100899999999
;-43.710763000000000;-22.511100899999999
;-43.705762999999997;-22.511100899999999
;-43.690762999999997;-22.511100899999999
;-43.680762999999999;-22.511100899999999
;-43.675763000000003;-22.511100899999999
;-43.660763000000003;-22.511100899999999
;-43.655763000000000;-22.511100899999999
;-43.625762999999999;-22.511100899999999
;-43.620762999999997;-22.511100899999999
;-43.530763000000000;-22.511100899999999
;-43.525762999999998;-22.511100899999999
;-43.520763000000002;-22.511100899999999
;-43.495762999999997;-22.511100899999999
;-43.490763000000001;-22.511100899999999
;-43.485762999999999;-22.511100899999999
;-43.480763000000003;-22.511100899999999
;-43.475763000000001;-22.511100899999999
;-43.470762999999998;-22.511100899999999
;-43.460763000000000;-22.511100899999999
;-43.435763000000001;-22.511100899999999
;-43.235762999999999;-22.511100899999999
;-43.230763000000003;-22.511100899999999
;-43.840763000000003;-22.516100900000001
;-43.835763000000000;-22.516100900000001
;-43.825763000000002;-22.516100900000001
;-43.820762999999999;-22.516100900000001
;-43.810763000000001;-22.516100900000001
;-43.805762999999999;-22.516100900000001
;-43.800763000000003;-22.516100900000001
;-43.745762999999997;-22.516100900000001
;-43.740763000000001;-22.516100900000001
;-43.735762999999999;-22.516100900000001
;-43.730763000000003;-22.516100900000001
;-43.725763000000001;-22.516100900000001
;-43.720762999999998;-22.516100900000001
;-43.715763000000003;-22.516100900000001
;-43.710763000000000;-22.516100900000001
;-43.705762999999997;-22.516100900000001
;-43.700763000000002;-22.516100900000001
;-43.695762999999999;-22.516100900000001
;-43.690762999999997;-22.516100900000001
;-43.685763000000001;-22.516100900000001
;-43.680762999999999;-22.516100900000001
;-43.655763000000000;-22.516100900000001
;-43.630763000000002;-22.516100900000001
;-43.625762999999999;-22.516100900000001
;-43.560763000000001;-22.516100900000001
;-43.555762999999999;-22.516100900000001
;-43.540762999999998;-22.516100900000001
;-43.535763000000003;-22.516100900000001
;-43.530763000000000;-22.516100900000001
;-43.520763000000002;-22.516100900000001
;-43.490763000000001;-22.516100900000001
;-43.485762999999999;-22.516100900000001
;-43.480763000000003;-22.516100900000001
;-43.470762999999998;-22.516100900000001
;-43.465763000000003;-22.516100900000001
;-43.460763000000000;-22.516100900000001
;-43.435763000000001;-22.516100900000001
;-43.430762999999999;-22.516100900000001
;-43.230763000000003;-22.516100900000001
;-43.225763000000001;-22.516100900000001
;-43.215763000000003;-22.516100900000001
;-43.210763000000000;-22.516100900000001
;-43.200763000000002;-22.516100900000001
;-43.195762999999999;-22.516100900000001
;-43.190762999999997;-22.516100900000001
;-43.185763000000001;-22.516100900000001
;-43.180762999999999;-22.516100900000001
;-43.175763000000003;-22.516100900000001
;-43.170763000000001;-22.516100900000001
;-43.165762999999998;-22.516100900000001
;-43.150762999999998;-22.516100900000001
;-43.145763000000002;-22.516100900000001
;-43.860762999999999;-22.521100900000000
;-43.855763000000003;-22.521100900000000
;-43.850763000000001;-22.521100900000000
;-43.845762999999998;-22.521100900000000
;-43.840763000000003;-22.521100900000000
;-43.835763000000000;-22.521100900000000
;-43.830762999999997;-22.521100900000000
;-43.825763000000002;-22.521100900000000
;-43.820762999999999;-22.521100900000000
;-43.815762999999997;-22.521100900000000
;-43.810763000000001;-22.521100900000000
;-43.805762999999999;-22.521100900000000
;-43.800763000000003;-22.521100900000000
;-43.750762999999999;-22.521100900000000
;-43.745762999999997;-22.521100900000000
;-43.740763000000001;-22.521100900000000
;-43.735762999999999;-22.521100900000000
;-43.730763000000003;-22.521100900000000
;-43.725763000000001;-22.521100900000000
;-43.720762999999998;-22.521100900000000
;-43.715763000000003;-22.521100900000000
;-43.710763000000000;-22.521100900000000
;-43.705762999999997;-22.521100900000000
;-43.700763000000002;-22.521100900000000
;-43.690762999999997;-22.521100900000000
;-43.680762999999999;-22.521100900000000
;-43.675763000000003;-22.521100900000000
;-43.660763000000003;-22.521100900000000
;-43.655763000000000;-22.521100900000000
;-43.625762999999999;-22.521100900000000
;-43.560763000000001;-22.521100900000000
;-43.545763000000001;-22.521100900000000
;-43.540762999999998;-22.521100900000000
;-43.520763000000002;-22.521100900000000
;-43.515763000000000;-22.521100900000000
;-43.485762999999999;-22.521100900000000
;-43.480763000000003;-22.521100900000000
;-43.430762999999999;-22.521100900000000
;-43.265763000000000;-22.521100900000000
;-43.235762999999999;-22.521100900000000
;-43.230763000000003;-22.521100900000000
;-43.225763000000001;-22.521100900000000
;-43.220762999999998;-22.521100900000000
;-43.215763000000003;-22.521100900000000
;-43.210763000000000;-22.521100900000000
;-43.205762999999997;-22.521100900000000
;-43.200763000000002;-22.521100900000000
;-43.195762999999999;-22.521100900000000
;-43.190762999999997;-22.521100900000000
;-43.185763000000001;-22.521100900000000
;-43.180762999999999;-22.521100900000000
;-43.175763000000003;-22.521100900000000
;-43.170763000000001;-22.521100900000000
;-43.165762999999998;-22.521100900000000
;-43.160763000000003;-22.521100900000000
;-43.155763000000000;-22.521100900000000
;-43.150762999999998;-22.521100900000000
;-43.145763000000002;-22.521100900000000
;-43.860762999999999;-22.526100899999999
;-43.855763000000003;-22.526100899999999
;-43.845762999999998;-22.526100899999999
;-43.840763000000003;-22.526100899999999
;-43.825763000000002;-22.526100899999999
;-43.820762999999999;-22.526100899999999
;-43.815762999999997;-22.526100899999999
;-43.810763000000001;-22.526100899999999
;-43.805762999999999;-22.526100899999999
;-43.800763000000003;-22.526100899999999
;-43.760762999999997;-22.526100899999999
;-43.750762999999999;-22.526100899999999
;-43.745762999999997;-22.526100899999999
